transaction_id,account_id,transaction_date,transaction_type,amount,currency,merchant_category,description,channel,status,reference_number
39,410,2023-10-29,ATM Withdrawal,997.82,INR,Dining,ATM Withdrawal - Dining,UPI,Completed,TXN00000039775
40,129,2024-05-21,EMI Deduction,14642.02,INR,Groceries,EMI Deduction - Groceries,RTGS,Completed,TXN00000040550
41,5,2022-08-13,Credit,484.93,INR,Utilities,Credit - Utilities,UPI,Failed,TXN00000041664
42,161,2020-05-11,RTGS,19880.87,INR,Travel,RTGS - Travel,ATM,Completed,TXN00000042732
43,336,2020-04-11,Bill Payment,113675.35,INR,Dining,Bill Payment - Dining,Mobile App,Completed,TXN00000043333
44,32,2024-01-03,ATM Withdrawal,25.94,INR,Shopping,ATM Withdrawal - Shopping,Branch,Completed,TXN00000044179
45,260,2022-06-27,Debit,1277879.21,INR,Insurance,Debit - Insurance,Internet Banking,Completed,TXN00000045996
46,145,2020-10-20,Credit,195641.32,INR,Utilities,Credit - Utilities,RTGS,Reversed,TXN00000046401
47,319,2020-03-04,Transfer,23326.47,INR,Utilities,Transfer - Utilities,POS Terminal,Completed,TXN00000047899
48,380,2022-11-06,EMI Deduction,6156.63,INR,FD Interest,EMI Deduction - FD Interest,NEFT,Completed,TXN00000048764
49,41,2020-06-07,Bill Payment,507.96,INR,Salary Credit,Bill Payment - Salary Credit,Mobile App,Completed,TXN00000049775
50,269,2022-12-01,RTGS,21063.38,INR,Utilities,RTGS - Utilities,POS Terminal,Completed,TXN00000050422
51,384,2020-08-24,Bill Payment,734.74,INR,Entertainment,Bill Payment - Entertainment,POS Terminal,Completed,TXN00000051719
52,118,2022-07-08,NEFT,898900.67,INR,Healthcare,NEFT - Healthcare,ATM,Completed,TXN00000052914
53,147,2021-11-30,UPI,11104.12,INR,Dining,UPI - Dining,ATM,Failed,TXN00000053115
54,86,2020-09-04,NEFT,767.09,INR,Shopping,NEFT - Shopping,NEFT,Completed,TXN00000054270
55,38,2020-09-28,IMPS,10314.35,INR,Transfer,IMPS - Transfer,UPI,Completed,TXN00000055944
56,460,2021-11-20,EMI Deduction,32916.55,INR,Salary Credit,EMI Deduction - Salary Credit,RTGS,Reversed,TXN00000056745
57,231,2024-02-25,NEFT,759.33,INR,Shopping,NEFT - Shopping,ATM,Failed,TXN00000057707
58,304,2022-01-27,RTGS,326.91,INR,Education,RTGS - Education,Branch,Completed,TXN00000058449
59,25,2023-03-01,IMPS,570834.36,INR,Investment,IMPS - Investment,POS Terminal,Completed,TXN00000059246
60,22,2024-07-25,Bill Payment,132707.95,INR,Education,Bill Payment - Education,ATM,Completed,TXN00000060380
61,250,2022-06-17,Bill Payment,177.46,INR,Investment,Bill Payment - Investment,Branch,Completed,TXN00000061244
62,50,2021-02-27,IMPS,5052.29,INR,Transfer,IMPS - Transfer,Mobile App,Completed,TXN00000062942
63,14,2022-01-26,Bill Payment,877162.06,INR,Shopping,Bill Payment - Shopping,UPI,Reversed,TXN00000063833
64,362,2025-02-25,Debit,40201.08,INR,Entertainment,Debit - Entertainment,Internet Banking,Pending,TXN00000064922
65,41,2024-03-04,Bill Payment,83.53,INR,FD Interest,Bill Payment - FD Interest,POS Terminal,Failed,TXN00000065139
66,222,2020-07-24,IMPS,198.3,INR,Utilities,IMPS - Utilities,Branch,Completed,TXN00000066485
67,447,2021-03-26,Bill Payment,12627.69,INR,Shopping,Bill Payment - Shopping,Branch,Completed,TXN00000067190
68,487,2022-11-23,Bill Payment,439.54,INR,Groceries,Bill Payment - Groceries,NEFT,Completed,TXN00000068728
69,195,2023-07-16,EMI Deduction,139964.01,INR,Healthcare,EMI Deduction - Healthcare,Branch,Failed,TXN00000069784
70,249,2022-09-30,NEFT,41893.22,INR,Salary Credit,NEFT - Salary Credit,NEFT,Pending,TXN00000070433
71,127,2023-09-18,NEFT,651852.15,INR,Dining,NEFT - Dining,ATM,Completed,TXN00000071595
72,431,2024-07-06,RTGS,859733.62,INR,Salary Credit,RTGS - Salary Credit,Mobile App,Completed,TXN00000072430
73,134,2023-10-14,UPI,94768.52,INR,Education,UPI - Education,RTGS,Completed,TXN00000073447
74,326,2024-08-03,Credit,452.71,INR,Shopping,Credit - Shopping,POS Terminal,Completed,TXN00000074652
75,11,2024-01-19,Credit,385.02,INR,ATM,Credit - ATM,Mobile App,Completed,TXN00000075470
76,275,2021-02-10,Transfer,65133.3,INR,Transfer,Transfer - Transfer,POS Terminal,Completed,TXN00000076666
77,376,2021-05-24,Credit,851949.12,INR,Groceries,Credit - Groceries,Mobile App,Completed,TXN00000077408
78,13,2021-04-16,Bill Payment,3967.3,INR,Groceries,Bill Payment - Groceries,UPI,Failed,TXN00000078178
79,38,2022-10-30,NEFT,397401.82,INR,Groceries,NEFT - Groceries,Branch,Completed,TXN00000079979
80,160,2024-05-26,UPI,72958.43,INR,Education,UPI - Education,RTGS,Completed,TXN00000080539
81,48,2021-03-31,NEFT,858571.56,INR,Insurance,NEFT - Insurance,Mobile App,Pending,TXN00000081845
82,202,2022-02-02,IMPS,6377.24,INR,FD Interest,IMPS - FD Interest,RTGS,Completed,TXN00000082676
83,56,2023-08-09,ATM Withdrawal,16117.3,INR,Utilities,ATM Withdrawal - Utilities,RTGS,Completed,TXN00000083185
84,73,2022-04-05,EMI Deduction,502158.69,INR,Transfer,EMI Deduction - Transfer,UPI,Completed,TXN00000084858
85,173,2024-09-04,Transfer,14566.93,INR,Groceries,Transfer - Groceries,RTGS,Completed,TXN00000085420
86,492,2023-08-28,Bill Payment,466.3,INR,Utilities,Bill Payment - Utilities,Internet Banking,Completed,TXN00000086179
87,193,2020-09-17,Credit,524.22,INR,Travel,Credit - Travel,Mobile App,Failed,TXN00000087607
88,88,2023-07-06,IMPS,148.33,INR,Entertainment,IMPS - Entertainment,NEFT,Pending,TXN00000088837
89,473,2024-12-07,ATM Withdrawal,123666.25,INR,Insurance,ATM Withdrawal - Insurance,Branch,Completed,TXN00000089831
90,191,2022-11-29,EMI Deduction,6054.6,INR,Shopping,EMI Deduction - Shopping,ATM,Completed,TXN00000090949
91,243,2020-01-21,UPI,12291.37,INR,Education,UPI - Education,Branch,Completed,TXN00000091650
92,235,2021-11-08,Debit,15266.31,INR,Groceries,Debit - Groceries,POS Terminal,Completed,TXN00000092297
93,141,2021-08-05,NEFT,9814.23,INR,Salary Credit,NEFT - Salary Credit,Internet Banking,Completed,TXN00000093205
94,375,2021-03-19,ATM Withdrawal,963512.18,INR,Travel,ATM Withdrawal - Travel,POS Terminal,Completed,TXN00000094973
95,304,2023-05-23,ATM Withdrawal,739.16,INR,ATM,ATM Withdrawal - ATM,Branch,Pending,TXN00000095193
96,476,2024-07-03,EMI Deduction,151.76,INR,Travel,EMI Deduction - Travel,ATM,Completed,TXN00000096550
97,218,2023-09-23,RTGS,711220.66,INR,Utilities,RTGS - Utilities,RTGS,Completed,TXN00000097958
98,268,2021-10-11,IMPS,192187.07,INR,Dining,IMPS - Dining,ATM,Completed,TXN00000098673
99,227,2022-09-30,ATM Withdrawal,139115.47,INR,Loan EMI,ATM Withdrawal - Loan EMI,RTGS,Completed,TXN00000099454
100,373,2022-05-18,Bill Payment,24948.6,INR,Salary Credit,Bill Payment - Salary Credit,Mobile App,Completed,TXN00000100469
101,270,2021-02-03,Credit,316.98,INR,Salary Credit,Credit - Salary Credit,UPI,Completed,TXN00000101381
102,329,2022-09-07,NEFT,994.78,INR,Groceries,NEFT - Groceries,RTGS,Pending,TXN00000102747
103,233,2022-10-01,Transfer,120477.24,INR,Entertainment,Transfer - Entertainment,Mobile App,Completed,TXN00000103830
104,79,2023-12-16,Transfer,355254.79,INR,Transfer,Transfer - Transfer,Mobile App,Completed,TXN00000104978
105,279,2021-07-22,Bill Payment,171522.03,INR,Loan EMI,Bill Payment - Loan EMI,ATM,Reversed,TXN00000105700
106,370,2022-01-20,IMPS,940.2,INR,Groceries,IMPS - Groceries,Branch,Completed,TXN00000106613
107,76,2024-02-01,ATM Withdrawal,1095331.72,INR,Dining,ATM Withdrawal - Dining,ATM,Completed,TXN00000107962
108,429,2020-01-07,ATM Withdrawal,564.39,INR,Shopping,ATM Withdrawal - Shopping,RTGS,Completed,TXN00000108192
109,94,2024-02-03,Debit,324.01,INR,Travel,Debit - Travel,Branch,Completed,TXN00000109571
110,42,2024-12-01,Bill Payment,16414.98,INR,Shopping,Bill Payment - Shopping,UPI,Completed,TXN00000110822
111,147,2020-12-30,ATM Withdrawal,10935.17,INR,Travel,ATM Withdrawal - Travel,ATM,Pending,TXN00000111365
112,358,2022-06-19,ATM Withdrawal,1034373.68,INR,Dining,ATM Withdrawal - Dining,ATM,Completed,TXN00000112954
113,300,2022-02-28,Transfer,100923.91,INR,Insurance,Transfer - Insurance,Branch,Completed,TXN00000113615
114,283,2024-08-26,ATM Withdrawal,517.63,INR,Dining,ATM Withdrawal - Dining,ATM,Completed,TXN00000114578
115,301,2021-10-23,UPI,30923.68,INR,Salary Credit,UPI - Salary Credit,Mobile App,Completed,TXN00000115586
116,172,2021-11-20,Debit,913.1,INR,Travel,Debit - Travel,RTGS,Completed,TXN00000116567
117,304,2023-03-25,NEFT,69200.33,INR,FD Interest,NEFT - FD Interest,RTGS,Completed,TXN00000117407
118,21,2025-03-17,Bill Payment,43874.57,INR,ATM,Bill Payment - ATM,NEFT,Completed,TXN00000118267
119,263,2020-12-06,ATM Withdrawal,17742.46,INR,Investment,ATM Withdrawal - Investment,ATM,Completed,TXN00000119907
120,492,2020-04-20,Debit,714792.03,INR,Shopping,Debit - Shopping,Mobile App,Completed,TXN00000120305
121,453,2020-12-18,ATM Withdrawal,6668.17,INR,Shopping,ATM Withdrawal - Shopping,ATM,Completed,TXN00000121965
122,398,2022-02-05,Credit,3397.82,INR,Entertainment,Credit - Entertainment,RTGS,Completed,TXN00000122951
123,238,2023-12-17,Bill Payment,1415841.12,INR,ATM,Bill Payment - ATM,POS Terminal,Failed,TXN00000123939
124,346,2024-02-04,NEFT,399.52,INR,Salary Credit,NEFT - Salary Credit,Branch,Failed,TXN00000124282
125,394,2021-04-26,UPI,346.11,INR,Utilities,UPI - Utilities,Branch,Completed,TXN00000125292
126,23,2021-03-08,ATM Withdrawal,56478.06,INR,Education,ATM Withdrawal - Education,NEFT,Completed,TXN00000126592
127,18,2021-06-18,NEFT,171.74,INR,Travel,NEFT - Travel,POS Terminal,Completed,TXN00000127203
128,336,2024-11-01,NEFT,859061.56,INR,ATM,NEFT - ATM,Mobile App,Completed,TXN00000128786
129,206,2022-05-15,Credit,1249262.62,INR,Shopping,Credit - Shopping,POS Terminal,Completed,TXN00000129829
130,172,2024-09-24,IMPS,120.44,INR,Utilities,IMPS - Utilities,ATM,Completed,TXN00000130824
131,303,2021-06-12,Bill Payment,104622.68,INR,Insurance,Bill Payment - Insurance,Mobile App,Completed,TXN00000131601
132,236,2022-01-21,Credit,602.74,INR,Investment,Credit - Investment,UPI,Completed,TXN00000132465
133,214,2020-02-05,RTGS,1151475.61,INR,Utilities,RTGS - Utilities,Branch,Completed,TXN00000133647
134,49,2020-09-15,Transfer,22424.31,INR,Loan EMI,Transfer - Loan EMI,RTGS,Completed,TXN00000134434
135,191,2020-03-19,Transfer,976.1,INR,Salary Credit,Transfer - Salary Credit,POS Terminal,Reversed,TXN00000135867
136,155,2022-05-15,NEFT,191.91,INR,Groceries,NEFT - Groceries,NEFT,Pending,TXN00000136912
137,99,2023-03-15,ATM Withdrawal,618.81,INR,Shopping,ATM Withdrawal - Shopping,POS Terminal,Completed,TXN00000137320
138,390,2025-03-30,NEFT,1072871.53,INR,Shopping,NEFT - Shopping,ATM,Completed,TXN00000138379
139,3,2022-04-13,Bill Payment,73084.24,INR,Groceries,Bill Payment - Groceries,Internet Banking,Completed,TXN00000139118
140,364,2021-10-26,Bill Payment,798837.4,INR,Dining,Bill Payment - Dining,POS Terminal,Completed,TXN00000140587
141,477,2023-02-16,Credit,800531.82,INR,Utilities,Credit - Utilities,Branch,Completed,TXN00000141274
142,345,2022-03-09,ATM Withdrawal,194350.66,INR,Education,ATM Withdrawal - Education,Internet Banking,Completed,TXN00000142642
143,190,2021-09-14,ATM Withdrawal,17187.36,INR,ATM,ATM Withdrawal - ATM,POS Terminal,Completed,TXN00000143525
144,392,2020-02-17,ATM Withdrawal,898870.52,INR,Insurance,ATM Withdrawal - Insurance,Internet Banking,Completed,TXN00000144323
145,109,2020-08-14,EMI Deduction,1154798.92,INR,Shopping,EMI Deduction - Shopping,NEFT,Completed,TXN00000145322
146,215,2025-01-18,EMI Deduction,43486.68,INR,Shopping,EMI Deduction - Shopping,NEFT,Completed,TXN00000146513
147,254,2024-03-29,RTGS,186683.42,INR,Shopping,RTGS - Shopping,Mobile App,Completed,TXN00000147442
148,391,2022-08-08,Transfer,1466521.61,INR,Loan EMI,Transfer - Loan EMI,Branch,Completed,TXN00000148733
149,115,2020-10-10,EMI Deduction,507.82,INR,Salary Credit,EMI Deduction - Salary Credit,POS Terminal,Completed,TXN00000149270
150,292,2023-07-05,RTGS,1348566.22,INR,Loan EMI,RTGS - Loan EMI,Branch,Failed,TXN00000150265
151,235,2022-01-25,Bill Payment,476.98,INR,Travel,Bill Payment - Travel,Mobile App,Completed,TXN00000151572
152,236,2021-05-16,EMI Deduction,988.83,INR,Entertainment,EMI Deduction - Entertainment,POS Terminal,Failed,TXN00000152263
153,126,2022-08-04,Debit,875697.77,INR,Groceries,Debit - Groceries,NEFT,Completed,TXN00000153527
154,491,2021-06-16,IMPS,1129193.48,INR,Dining,IMPS - Dining,RTGS,Completed,TXN00000154161
155,150,2024-07-20,NEFT,1131612.01,INR,Transfer,NEFT - Transfer,NEFT,Completed,TXN00000155206
156,75,2024-09-30,ATM Withdrawal,419639.51,INR,ATM,ATM Withdrawal - ATM,POS Terminal,Completed,TXN00000156348
157,408,2022-09-15,Bill Payment,1368953.9,INR,Shopping,Bill Payment - Shopping,Branch,Completed,TXN00000157450
158,152,2023-11-12,RTGS,17788.78,INR,Utilities,RTGS - Utilities,ATM,Completed,TXN00000158126
159,114,2024-12-07,UPI,190337.64,INR,Salary Credit,UPI - Salary Credit,RTGS,Completed,TXN00000159789
160,151,2020-11-12,Transfer,21618.68,INR,Travel,Transfer - Travel,UPI,Completed,TXN00000160112
161,133,2022-01-15,IMPS,108470.03,INR,FD Interest,IMPS - FD Interest,ATM,Completed,TXN00000161613
162,161,2022-12-07,UPI,12645.41,INR,Education,UPI - Education,RTGS,Failed,TXN00000162114
163,343,2020-05-12,UPI,315.91,INR,Healthcare,UPI - Healthcare,Branch,Completed,TXN00000163570
164,292,2025-02-12,Credit,20652.7,INR,Transfer,Credit - Transfer,POS Terminal,Completed,TXN00000164508
165,321,2020-07-21,UPI,76.46,INR,Insurance,UPI - Insurance,Mobile App,Completed,TXN00000165635
166,127,2021-05-16,ATM Withdrawal,518613.17,INR,ATM,ATM Withdrawal - ATM,ATM,Completed,TXN00000166723
167,137,2023-02-04,ATM Withdrawal,18599.36,INR,Dining,ATM Withdrawal - Dining,UPI,Completed,TXN00000167333
168,125,2023-04-14,EMI Deduction,469.16,INR,Entertainment,EMI Deduction - Entertainment,Branch,Completed,TXN00000168552
169,43,2022-09-01,Bill Payment,940128.05,INR,Dining,Bill Payment - Dining,Internet Banking,Completed,TXN00000169553
170,399,2023-08-09,Bill Payment,200643.66,INR,Salary Credit,Bill Payment - Salary Credit,UPI,Completed,TXN00000170280
171,169,2022-11-04,RTGS,71234.72,INR,Insurance,RTGS - Insurance,UPI,Completed,TXN00000171615
172,159,2023-07-05,RTGS,614969.81,INR,Dining,RTGS - Dining,RTGS,Completed,TXN00000172167
173,390,2022-06-03,ATM Withdrawal,11636.32,INR,Dining,ATM Withdrawal - Dining,Branch,Completed,TXN00000173881
174,119,2021-03-12,ATM Withdrawal,19393.33,INR,Insurance,ATM Withdrawal - Insurance,ATM,Completed,TXN00000174296
175,393,2022-03-22,Transfer,871406.19,INR,Transfer,Transfer - Transfer,NEFT,Completed,TXN00000175375
176,118,2025-03-25,ATM Withdrawal,89888.08,INR,Entertainment,ATM Withdrawal - Entertainment,POS Terminal,Completed,TXN00000176535
177,289,2022-03-16,NEFT,10697.54,INR,Groceries,NEFT - Groceries,RTGS,Completed,TXN00000177119
178,420,2023-12-13,Bill Payment,230782.7,INR,Healthcare,Bill Payment - Healthcare,NEFT,Completed,TXN00000178673
179,379,2021-02-12,Bill Payment,43695.94,INR,Salary Credit,Bill Payment - Salary Credit,RTGS,Reversed,TXN00000179707
180,241,2020-04-04,NEFT,1483007.96,INR,FD Interest,NEFT - FD Interest,Mobile App,Completed,TXN00000180754
181,176,2021-07-19,IMPS,443.31,INR,Utilities,IMPS - Utilities,POS Terminal,Pending,TXN00000181850
182,212,2024-08-15,Transfer,8172.24,INR,Transfer,Transfer - Transfer,POS Terminal,Completed,TXN00000182881
183,339,2021-06-17,IMPS,49581.68,INR,Insurance,IMPS - Insurance,POS Terminal,Reversed,TXN00000183556
184,383,2024-12-16,Bill Payment,88385.3,INR,Travel,Bill Payment - Travel,UPI,Completed,TXN00000184123
185,72,2020-09-01,NEFT,33405.39,INR,Education,NEFT - Education,Mobile App,Completed,TXN00000185132
186,492,2022-10-29,UPI,542.88,INR,ATM,UPI - ATM,Internet Banking,Pending,TXN00000186899
187,58,2022-12-25,Transfer,21434.81,INR,ATM,Transfer - ATM,Internet Banking,Completed,TXN00000187541
188,419,2021-07-21,RTGS,24863.4,INR,Entertainment,RTGS - Entertainment,POS Terminal,Completed,TXN00000188899
189,355,2024-02-23,NEFT,31.25,INR,Investment,NEFT - Investment,Mobile App,Completed,TXN00000189537
190,78,2021-06-14,Bill Payment,105106.37,INR,Salary Credit,Bill Payment - Salary Credit,ATM,Completed,TXN00000190251
191,106,2021-09-23,Transfer,172821.36,INR,Dining,Transfer - Dining,Internet Banking,Completed,TXN00000191422
192,476,2021-04-16,Bill Payment,11182.38,INR,Healthcare,Bill Payment - Healthcare,POS Terminal,Completed,TXN00000192998
193,461,2022-06-19,Debit,1610.15,INR,Transfer,Debit - Transfer,NEFT,Completed,TXN00000193549
194,205,2021-02-10,Bill Payment,386.32,INR,ATM,Bill Payment - ATM,ATM,Completed,TXN00000194223
195,482,2022-09-28,EMI Deduction,58421.51,INR,Utilities,EMI Deduction - Utilities,RTGS,Completed,TXN00000195214
196,484,2022-07-24,Credit,193273.57,INR,Groceries,Credit - Groceries,UPI,Completed,TXN00000196544
197,485,2024-10-02,ATM Withdrawal,706592.07,INR,Healthcare,ATM Withdrawal - Healthcare,Mobile App,Pending,TXN00000197381
198,374,2023-08-18,UPI,6975.71,INR,Groceries,UPI - Groceries,ATM,Completed,TXN00000198880
199,20,2020-05-05,EMI Deduction,18755.64,INR,ATM,EMI Deduction - ATM,NEFT,Completed,TXN00000199631
200,495,2020-11-06,Transfer,53415.24,INR,Utilities,Transfer - Utilities,NEFT,Completed,TXN00000200961
201,136,2023-06-27,UPI,8957.64,INR,Groceries,UPI - Groceries,NEFT,Completed,TXN00000201486
202,391,2023-05-10,IMPS,166.43,INR,Travel,IMPS - Travel,Internet Banking,Pending,TXN00000202575
203,213,2024-10-19,IMPS,604860.15,INR,Entertainment,IMPS - Entertainment,UPI,Completed,TXN00000203772
204,277,2022-01-18,EMI Deduction,12466.48,INR,Loan EMI,EMI Deduction - Loan EMI,ATM,Completed,TXN00000204232
205,413,2020-10-19,Bill Payment,91.28,INR,Loan EMI,Bill Payment - Loan EMI,Branch,Completed,TXN00000205289
206,374,2023-09-12,ATM Withdrawal,128386.72,INR,Utilities,ATM Withdrawal - Utilities,ATM,Completed,TXN00000206483
207,339,2020-10-24,EMI Deduction,934.34,INR,FD Interest,EMI Deduction - FD Interest,Branch,Pending,TXN00000207114
208,74,2023-07-23,Credit,943712.75,INR,Transfer,Credit - Transfer,POS Terminal,Completed,TXN00000208990
209,419,2023-03-28,NEFT,70990.55,INR,Entertainment,NEFT - Entertainment,POS Terminal,Completed,TXN00000209290
210,131,2021-11-29,RTGS,141901.55,INR,ATM,RTGS - ATM,Internet Banking,Completed,TXN00000210536
211,329,2020-02-22,IMPS,170262.81,INR,Travel,IMPS - Travel,ATM,Failed,TXN00000211414
212,232,2022-06-12,IMPS,24319.34,INR,Dining,IMPS - Dining,ATM,Completed,TXN00000212327
213,398,2020-02-04,Bill Payment,746.41,INR,FD Interest,Bill Payment - FD Interest,POS Terminal,Completed,TXN00000213810
214,485,2022-12-23,Transfer,17328.85,INR,Utilities,Transfer - Utilities,ATM,Completed,TXN00000214724
215,218,2024-10-23,Bill Payment,706704.12,INR,Shopping,Bill Payment - Shopping,RTGS,Completed,TXN00000215239
216,370,2021-09-06,Credit,258.56,INR,Dining,Credit - Dining,Mobile App,Completed,TXN00000216243
217,74,2022-09-11,Transfer,24433.95,INR,ATM,Transfer - ATM,NEFT,Completed,TXN00000217298
218,128,2024-09-04,UPI,23776.25,INR,Dining,UPI - Dining,Branch,Completed,TXN00000218788
219,142,2024-04-06,UPI,1203155.44,INR,Groceries,UPI - Groceries,Branch,Completed,TXN00000219405
220,421,2020-09-12,IMPS,179038.82,INR,FD Interest,IMPS - FD Interest,UPI,Reversed,TXN00000220141
221,196,2024-09-12,ATM Withdrawal,1122688.87,INR,Dining,ATM Withdrawal - Dining,UPI,Completed,TXN00000221205
222,46,2024-02-07,EMI Deduction,842891.34,INR,Salary Credit,EMI Deduction - Salary Credit,NEFT,Completed,TXN00000222207
223,443,2024-04-25,ATM Withdrawal,860170.62,INR,Transfer,ATM Withdrawal - Transfer,UPI,Pending,TXN00000223185
224,7,2020-07-26,RTGS,545480.41,INR,Healthcare,RTGS - Healthcare,NEFT,Completed,TXN00000224991
225,474,2023-09-29,NEFT,605.04,INR,Groceries,NEFT - Groceries,Internet Banking,Pending,TXN00000225344
226,185,2023-04-03,EMI Deduction,1041215.02,INR,Education,EMI Deduction - Education,RTGS,Completed,TXN00000226635
227,20,2022-03-27,NEFT,56628.91,INR,Loan EMI,NEFT - Loan EMI,Internet Banking,Completed,TXN00000227522
228,411,2020-02-28,RTGS,9605.78,INR,Transfer,RTGS - Transfer,UPI,Completed,TXN00000228148
229,167,2022-07-27,ATM Withdrawal,159890.79,INR,ATM,ATM Withdrawal - ATM,NEFT,Completed,TXN00000229899
230,418,2020-12-18,RTGS,9442.96,INR,Transfer,RTGS - Transfer,POS Terminal,Completed,TXN00000230203
231,469,2024-01-18,Debit,15922.57,INR,Loan EMI,Debit - Loan EMI,UPI,Failed,TXN00000231597
232,180,2021-11-21,RTGS,4821.06,INR,Investment,RTGS - Investment,UPI,Reversed,TXN00000232817
233,329,2023-02-21,ATM Withdrawal,563.76,INR,ATM,ATM Withdrawal - ATM,Internet Banking,Completed,TXN00000233997
234,340,2022-04-08,ATM Withdrawal,718.01,INR,Travel,ATM Withdrawal - Travel,UPI,Completed,TXN00000234184
235,166,2021-04-05,RTGS,555924.78,INR,Transfer,RTGS - Transfer,Branch,Completed,TXN00000235324
236,126,2024-11-27,Bill Payment,650.77,INR,Entertainment,Bill Payment - Entertainment,RTGS,Completed,TXN00000236524
237,285,2023-02-02,EMI Deduction,1015431.64,INR,Healthcare,EMI Deduction - Healthcare,UPI,Completed,TXN00000237472
238,412,2024-06-29,ATM Withdrawal,188960.44,INR,Education,ATM Withdrawal - Education,Internet Banking,Pending,TXN00000238237
