payment_id,loan_id,payment_date,amount_paid,principal_paid,interest_paid,late_fee,payment_method,status,remarks
211,289,2020-09-13,34746.85,19984.06,14262.79,500,Cash,Paid,Late payment fee applied
212,141,2023-08-29,150583.05,65821.62,84761.43,0,Cash,Paid,Regular EMI
213,11,2025-02-28,76369.79,43955.76,31914.03,500,NEFT,Paid,Late payment fee applied
214,119,2023-08-11,4034.34,1269.4,1764.94,1000,UPI,Paid,Late payment fee applied
215,305,2024-12-20,57252.36,18060.35,38692.01,500,NEFT,Paid,Late payment fee applied
216,159,2025-02-13,122456.89,42316.55,80140.34,0,NEFT,Late,Regular EMI
217,274,2022-07-13,11886.34,5535.24,5851.1,500,Cheque,Paid,Late payment fee applied
218,90,2020-03-25,446407.32,252664.49,193742.83,0,NEFT,Paid,Regular EMI
219,131,2024-04-06,162894.08,86892.77,76001.31,0,Cheque,Paid,Regular EMI
220,152,2021-08-29,5465.27,2153.55,3311.72,0,Net Banking,Paid,Regular EMI
221,17,2025-01-07,10406.37,3882.3,4524.07,2000,NEFT,Paid,Late payment fee applied
222,44,2024-04-07,4324.61,2432.2,1892.41,0,UPI,Late,Regular EMI
223,43,2024-05-03,62607.59,25736.2,36871.39,0,NACH Auto-Debit,Bounced,Regular EMI
224,85,2024-02-05,73147.7,32777.49,40370.21,0,Net Banking,Paid,Regular EMI
225,215,2022-05-23,9725.14,3085.1,5640.04,1000,Net Banking,Paid,Late payment fee applied
226,276,2025-01-04,27634.71,10433.66,17201.05,0,NACH Auto-Debit,Paid,Regular EMI
227,315,2024-07-07,32625.65,18547.78,13077.87,1000,UPI,Paid,Late payment fee applied
228,7,2024-10-03,8471.98,2706.24,5765.74,0,Net Banking,Paid,Regular EMI
229,200,2023-11-14,37244.2,15818.38,20925.82,500,UPI,Paid,Late payment fee applied
230,186,2024-06-07,10665.3,4978.15,5187.15,500,Cheque,Late,Late payment fee applied
231,286,2024-05-18,25418.26,8471.04,16947.22,0,UPI,Paid,Regular EMI
232,233,2024-05-19,34936.78,17422.17,17014.61,500,NACH Auto-Debit,Late,Late payment fee applied
233,142,2020-08-21,108093.18,48063.8,60029.38,0,Cash,Paid,Regular EMI
234,115,2024-10-16,405190.32,176432.89,226757.43,2000,Cheque,Late,Late payment fee applied
235,203,2024-06-12,818.28,421.67,396.61,0,NEFT,Paid,Regular EMI
236,100,2022-04-09,8388.07,2937.22,5450.85,0,Net Banking,Paid,Regular EMI
237,139,2025-03-26,13241.63,4569.94,8671.69,0,Cheque,Paid,Regular EMI
238,34,2023-07-19,31755.68,12466.41,17289.27,2000,NACH Auto-Debit,Paid,Late payment fee applied
239,68,2024-11-07,80524.54,36771.34,43753.2,0,Cash,Paid,Regular EMI
240,191,2025-01-30,41771.5,14745.65,26525.85,500,Cheque,Late,Late payment fee applied
241,43,2024-06-05,62607.59,34457.59,28150.0,0,Net Banking,Paid,Regular EMI
242,282,2024-03-26,543433.75,285722.7,257211.05,500,Cash,Paid,Late payment fee applied
243,257,2021-06-09,28055.62,10534.84,17520.78,0,NACH Auto-Debit,Paid,Regular EMI
244,304,2024-07-18,17132.47,6266.2,10866.27,0,UPI,Paid,Regular EMI
245,56,2024-08-11,204066.56,117328.73,86737.83,0,Net Banking,Paid,Regular EMI
246,107,2023-01-16,10492.77,4106.97,6385.8,0,NEFT,Paid,Regular EMI
247,315,2025-01-01,31625.65,11805.78,19819.87,0,Net Banking,Paid,Regular EMI
248,118,2025-01-24,3026.79,517.36,509.43,2000,NEFT,Paid,Late payment fee applied
249,129,2022-10-05,46264.98,24224.97,22040.01,0,Cash,Paid,Regular EMI
250,92,2024-01-06,12090.09,5664.11,5925.98,500,Cash,Paid,Late payment fee applied
251,37,2024-11-16,1849.81,1084.43,765.38,0,Cash,Paid,Regular EMI
252,187,2023-09-09,12882.32,4812.31,7070.01,1000,Cheque,Paid,Late payment fee applied
253,170,2022-11-07,23565.39,13048.05,10517.34,0,NACH Auto-Debit,Paid,Regular EMI
254,21,2025-02-20,10504.13,3906.47,6597.66,0,UPI,Paid,Regular EMI
255,291,2023-05-01,68188.93,21681.96,46506.97,0,NEFT,Paid,Regular EMI
256,24,2024-03-18,20958.03,12115.22,8842.81,0,Cash,Paid,Regular EMI
257,162,2024-11-19,51192.82,19125.1,31067.72,1000,NEFT,Paid,Late payment fee applied
258,253,2023-01-05,10727.73,5703.17,5024.56,0,UPI,Paid,Regular EMI
259,249,2021-02-14,7315.59,2443.71,4871.88,0,Cheque,Paid,Regular EMI
260,239,2025-03-21,230524.45,69913.03,160611.42,0,Cash,Paid,Regular EMI
261,54,2024-11-09,9851.44,3516.99,4334.45,2000,UPI,Paid,Late payment fee applied
262,253,2023-07-10,12727.73,6099.08,4628.65,2000,NACH Auto-Debit,Paid,Late payment fee applied
263,281,2021-04-30,7759.55,2992.12,2767.43,2000,Net Banking,Paid,Late payment fee applied
264,235,2024-03-30,222217.88,121363.39,100854.49,0,UPI,Late,Regular EMI
265,270,2025-03-17,646810.88,248823.15,397987.73,0,Net Banking,Paid,Regular EMI
266,74,2023-12-25,183187.49,61044.41,121143.08,1000,NEFT,Paid,Late payment fee applied
267,37,2025-01-25,1849.81,779.59,1070.22,0,NACH Auto-Debit,Late,Regular EMI
268,343,2023-05-11,60693.94,19499.44,40694.5,500,Cheque,Bounced,Late payment fee applied
269,91,2023-08-28,11013.47,3270.57,6742.9,1000,NEFT,Paid,Late payment fee applied
270,282,2024-03-19,542933.75,219943.63,322990.12,0,Cash,Paid,Regular EMI
271,283,2024-12-29,201230.2,64838.52,136391.68,0,UPI,Bounced,Regular EMI
272,113,2024-10-11,339871.92,102914.19,236957.73,0,UPI,Paid,Regular EMI
273,316,2021-03-20,2919.41,1661.74,1257.67,0,Cash,Paid,Regular EMI
274,35,2024-10-17,76414.09,24074.95,52339.14,0,Cheque,Paid,Regular EMI
275,201,2021-01-20,34234.97,19194.4,15040.57,0,NEFT,Paid,Regular EMI
276,96,2022-09-29,68911.7,30074.24,38837.46,0,UPI,Late,Regular EMI
277,140,2024-09-18,98864.62,47895.32,50969.3,0,Cash,Paid,Regular EMI
278,330,2022-07-22,4766.2,2060.03,2706.17,0,Net Banking,Paid,Regular EMI
279,268,2022-03-30,9967.45,3939.14,6028.31,0,Cheque,Paid,Regular EMI
280,92,2024-09-04,12590.09,3961.67,7628.42,1000,Cash,Paid,Late payment fee applied
281,235,2024-02-03,224217.88,128993.45,93224.43,2000,Cash,Paid,Late payment fee applied
282,34,2023-12-26,29755.68,15682.08,14073.6,0,NACH Auto-Debit,Paid,Regular EMI
283,274,2025-02-24,11886.34,3739.53,7646.81,500,NEFT,Paid,Late payment fee applied
284,180,2024-12-21,8902.48,2460.02,4442.46,2000,Cash,Late,Late payment fee applied
285,119,2023-11-12,3034.34,1193.11,1841.23,0,NEFT,Paid,Regular EMI
286,113,2025-03-24,340871.92,136434.08,203437.84,1000,UPI,Paid,Late payment fee applied
287,164,2021-06-08,6638.46,1475.68,3162.78,2000,Cheque,Paid,Late payment fee applied
288,336,2025-03-27,6432.56,2514.24,3918.32,0,Net Banking,Late,Regular EMI
289,93,2025-01-26,1121.07,575.4,545.67,0,NEFT,Paid,Regular EMI
290,258,2024-12-02,1395.75,385.58,510.17,500,Cheque,Late,Late payment fee applied
291,207,2022-08-30,229671.93,69570.15,160101.78,0,Cash,Paid,Regular EMI
292,226,2024-06-08,41611.59,20618.12,20993.47,0,UPI,Paid,Regular EMI
293,77,2025-02-27,9772.67,2996.77,6775.9,0,UPI,Paid,Regular EMI
294,258,2024-07-03,895.75,339.03,556.72,0,UPI,Paid,Regular EMI
295,26,2022-10-22,311566.12,111552.34,198013.78,2000,UPI,Paid,Late payment fee applied
296,11,2024-03-07,75869.79,36767.82,39101.97,0,NACH Auto-Debit,Paid,Regular EMI
297,293,2024-12-20,7046.13,2868.56,2177.57,2000,NACH Auto-Debit,Paid,Late payment fee applied
298,316,2021-06-17,2919.41,1015.98,1903.43,0,Cheque,Paid,Regular EMI
299,172,2023-12-05,26701.01,8803.48,17897.53,0,NEFT,Paid,Regular EMI
300,74,2023-11-07,183187.49,85486.76,96700.73,1000,Cash,Paid,Late payment fee applied
301,120,2023-08-19,12446.83,5074.32,7372.51,0,Cheque,Paid,Regular EMI
302,289,2024-05-28,34246.85,14624.29,19622.56,0,Cash,Paid,Regular EMI
303,98,2024-01-13,52384.6,23864.35,26520.25,2000,UPI,Paid,Late payment fee applied
304,309,2021-09-27,206123.25,72614.68,133508.57,0,Cheque,Paid,Regular EMI
305,148,2022-02-27,2457.16,1033.55,1423.61,0,UPI,Paid,Regular EMI
306,33,2022-10-23,5534.97,2214.52,2820.45,500,UPI,Paid,Late payment fee applied
